epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1002.43,1.22993,2.99735,0.99534,0.85028,0.96217,0.93653,0.66979,0.77762,41.4919,0.66814,0.00104231,0.00104231,0.00104231
43,1025.84,1.17684,2.7942,0.98852,0.89315,0.9799,0.9533,0.66344,0.77959,47.5177,0.66504,0.00103288,0.00103288,0.00103288
44,1050.52,1.1638,3.5303,0.94839,0.87524,0.99176,0.96268,0.67444,0.76155,50.4206,0.6726,0.00102345,0.00102345,0.00102345
45,1073.92,1.16517,2.89446,0.98486,0.87524,0.99176,0.96268,0.67444,0.76155,50.4206,0.6726,0.00101402,0.00101402,0.00101402
46,1097.42,1.20424,3.66873,0.99131,0.89828,1,0.95671,0.65696,0.75559,37.3706,0.67347,0.00100459,0.00100459,0.00100459
47,1120.35,1.15158,3.01624,0.97586,0.92264,1,0.97563,0.68536,0.75021,31.1159,0.66277,0.000995156,0.000995156,0.000995156
48,1145.81,1.19601,3.05017,0.96821,0.92264,1,0.97563,0.68536,0.75021,31.1159,0.66277,0.000985724,0.000985724,0.000985724
49,1169.22,1.18639,2.77587,0.98203,0.91495,0.98802,0.97096,0.68486,0.72947,39.5166,0.6559,0.000976293,0.000976293,0.000976293
50,1194.68,1.21834,3.69046,1.01578,0.91495,0.98802,0.97096,0.68486,0.72947,39.5166,0.6559,0.000966861,0.000966861,0.000966861
51,1219.34,1.16136,2.82147,0.95652,0.90768,0.9964,0.96371,0.6783,0.71657,43.3801,0.64624,0.00095743,0.00095743,0.00095743
52,1243.03,1.133,2.79551,0.97556,0.91385,0.99688,0.95811,0.66255,0.69307,39.9656,0.63742,0.000947999,0.000947999,0.000947999
53,1265.88,1.19185,2.77903,0.99907,0.91385,0.99688,0.95811,0.66255,0.69307,39.9656,0.63742,0.000938567,0.000938567,0.000938567
54,1288.22,1.12226,2.72698,0.93873,0.90911,0.98277,0.9586,0.69898,0.6574,40.8426,0.62986,0.000929136,0.000929136,0.000929136
55,1312.07,1.19099,2.67359,0.99391,0.90912,0.98188,0.96851,0.70346,0.68148,41.466,0.63596,0.000919704,0.000919704,0.000919704
56,1336.2,1.18913,2.62678,0.98316,0.90912,0.98188,0.96851,0.70346,0.68148,41.466,0.63596,0.000910273,0.000910273,0.000910273
57,1359.28,1.06603,2.52542,0.94155,0.91558,0.97666,0.96975,0.70584,0.68231,41.4373,0.63714,0.000900842,0.000900842,0.000900842
58,1381.32,1.12283,2.56365,0.93532,0.91558,0.97666,0.96975,0.70584,0.68231,41.4373,0.63714,0.00089141,0.00089141,0.00089141
59,1403.29,1.20987,2.90323,0.98297,0.92549,0.97917,0.95924,0.72359,0.65313,36.9424,0.63263,0.000881979,0.000881979,0.000881979
60,1425.28,1.17698,2.6405,0.99038,0.93622,0.97559,0.95873,0.69618,0.70285,31.1544,0.64049,0.000872547,0.000872547,0.000872547
61,1447.16,1.14424,2.73402,0.96919,0.93622,0.97559,0.95873,0.69618,0.70285,31.1544,0.64049,0.000863116,0.000863116,0.000863116
62,1468.92,1.1137,2.93676,0.97814,0.91375,0.96913,0.96284,0.66219,0.76987,33.0911,0.65493,0.000853685,0.000853685,0.000853685
63,1490.72,1.24265,2.55431,0.97034,0.9089,0.97371,0.9672,0.63432,0.83687,42.6521,0.67296,0.000844253,0.000844253,0.000844253
64,1512.5,1.10381,2.7469,0.94506,0.9089,0.97371,0.9672,0.63432,0.83687,42.6521,0.67296,0.000834822,0.000834822,0.000834822
65,1534.59,1.08699,2.55255,0.96505,0.93235,0.98227,0.96456,0.64934,0.80417,43.8533,0.66718,0.00082539,0.00082539,0.00082539
66,1556.41,1.19134,2.92873,0.95909,0.93235,0.98227,0.96456,0.64934,0.80417,43.8533,0.66718,0.000815959,0.000815959,0.000815959
67,1578.47,1.17755,2.39969,1.00568,0.92296,0.97755,0.95546,0.67693,0.74181,37.6387,0.65772,0.000806528,0.000806528,0.000806528
68,1600.29,1.09238,2.58374,0.95807,0.91477,0.97358,0.95705,0.704,0.70427,32.6865,0.64972,0.000797096,0.000797096,0.000797096
69,1622.29,1.15477,2.97808,0.99522,0.91477,0.97358,0.95705,0.704,0.70427,32.6865,0.64972,0.000787665,0.000787665,0.000787665
70,1644.64,1.09552,2.36386,0.959,0.92293,0.98759,0.96202,0.7092,0.72295,32.1067,0.65333,0.000778233,0.000778233,0.000778233
71,1666.9,1.18753,2.60868,0.9679,0.93761,1,0.96867,0.68437,0.77027,36.5842,0.66253,0.000768802,0.000768802,0.000768802
72,1688.92,1.13048,2.47425,0.97459,0.93761,1,0.96867,0.68437,0.77027,36.5842,0.66253,0.000759371,0.000759371,0.000759371
73,1710.98,1.12729,2.60961,0.99145,0.93628,1,0.96408,0.69359,0.76138,39.9741,0.66051,0.000749939,0.000749939,0.000749939
74,1732.98,1.05026,2.4274,0.97399,0.93628,1,0.96408,0.69359,0.76138,39.9741,0.66051,0.000740508,0.000740508,0.000740508
75,1754.96,1.13673,2.15007,0.98967,0.92644,0.99645,0.96879,0.70279,0.75506,37.5174,0.65742,0.000731076,0.000731076,0.000731076
76,1776.88,1.12878,2.67662,0.981,0.90393,1,0.97346,0.71822,0.71557,30.9281,0.64706,0.000721645,0.000721645,0.000721645
77,1798.98,1.05978,2.31028,0.96434,0.90393,1,0.97346,0.71822,0.71557,30.9281,0.64706,0.000712214,0.000712214,0.000712214
78,1821.13,1.19172,2.41833,0.96384,0.90329,1,0.96945,0.72706,0.67449,26.8444,0.63665,0.000702782,0.000702782,0.000702782
79,1843.35,1.16159,2.33459,0.95518,0.90819,1,0.97031,0.72169,0.66821,24.7573,0.63344,0.000693351,0.000693351,0.000693351
80,1865.42,1.18535,2.55649,1.0021,0.90819,1,0.97031,0.72169,0.66821,24.7573,0.63344,0.000683919,0.000683919,0.000683919
81,1887.39,1.1533,2.26895,0.96483,0.91887,0.97222,0.9691,0.71775,0.68606,25.6394,0.63624,0.000674488,0.000674488,0.000674488
82,1909.26,1.09295,2.27718,0.96059,0.91887,0.97222,0.9691,0.71775,0.68606,25.6394,0.63624,0.000665057,0.000665057,0.000665057
83,1931.13,0.94026,2.30522,0.93694,0.93174,0.97222,0.97791,0.72334,0.68337,26.6167,0.63321,0.000655625,0.000655625,0.000655625
84,1953.14,1.13289,2.31979,0.94204,0.93296,0.97222,0.96899,0.72039,0.6582,26.145,0.63013,0.000646194,0.000646194,0.000646194
85,1975.22,1.02474,2.404,0.93572,0.93296,0.97222,0.96899,0.72039,0.6582,26.145,0.63013,0.000636762,0.000636762,0.000636762
86,1997.96,1.03681,2.23739,0.94505,0.92599,0.96993,0.96422,0.72485,0.64955,23.7268,0.63232,0.000627331,0.000627331,0.000627331
87,2022.57,1.04783,2.21992,0.94463,0.93404,0.97222,0.97127,0.731,0.64273,23.1149,0.62761,0.0006179,0.0006179,0.0006179
88,2046.77,1.08038,2.26946,0.96875,0.93404,0.97222,0.97127,0.731,0.64273,23.1149,0.62761,0.000608468,0.000608468,0.000608468
89,2070,1.09635,2.21042,0.97502,0.92666,0.99704,0.97223,0.72731,0.64913,25.1395,0.62793,0.000599037,0.000599037,0.000599037
90,2094.24,1.09562,2.38756,0.92898,0.92666,0.99704,0.97223,0.72731,0.64913,25.1395,0.62793,0.000589605,0.000589605,0.000589605
91,2117.54,0.97373,2.04075,0.92602,0.92933,0.99794,0.97221,0.72966,0.6473,28.7054,0.62629,0.000580174,0.000580174,0.000580174
92,2139.28,1.05276,2.2708,0.92311,0.93035,1,0.97358,0.76377,0.62374,30.2768,0.62183,0.000570743,0.000570743,0.000570743
93,2161.46,1.10251,2.11648,0.95801,0.93035,1,0.97358,0.76377,0.62374,30.2768,0.62183,0.000561311,0.000561311,0.000561311
94,2183.2,1.0171,1.9904,0.92251,0.93252,1,0.97504,0.74875,0.62566,29.4897,0.62058,0.00055188,0.00055188,0.00055188
95,2205.14,1.0474,1.97469,0.92083,0.93537,0.99786,0.97265,0.74473,0.62145,28.5876,0.61957,0.000542448,0.000542448,0.000542448
96,2226.99,1.09842,2.05242,0.95149,0.93537,0.99786,0.97265,0.74473,0.62145,28.5876,0.61957,0.000533017,0.000533017,0.000533017
97,2249.4,1.05069,2.08599,0.93672,0.92644,0.99696,0.96442,0.7424,0.61763,28.2579,0.62003,0.000523586,0.000523586,0.000523586
98,2271.52,0.98292,1.96815,0.91625,0.92644,0.99696,0.96442,0.7424,0.61763,28.2579,0.62003,0.000514154,0.000514154,0.000514154
99,2293.45,0.97575,2.0784,0.92477,0.92681,0.99692,0.95858,0.74334,0.61777,30.1468,0.62009,0.000504723,0.000504723,0.000504723
100,2315.36,1.01892,2.65806,0.9755,0.93084,0.99569,0.95817,0.73663,0.62705,30.3863,0.62171,0.000495291,0.000495291,0.000495291
101,2337.25,1.04334,2.18508,0.9423,0.93084,0.99569,0.95817,0.73663,0.62705,30.3863,0.62171,0.00048586,0.00048586,0.00048586
102,2359.23,1.02836,2.02696,0.94089,0.93633,1,0.95766,0.72344,0.63811,29.8213,0.62302,0.000476429,0.000476429,0.000476429
103,2381.44,1.07699,2.14405,0.94831,0.93618,0.99848,0.95922,0.73849,0.62096,28.4102,0.61917,0.000466997,0.000466997,0.000466997
104,2403.53,1.07839,2.62941,0.93792,0.93618,0.99848,0.95922,0.73849,0.62096,28.4102,0.61917,0.000457566,0.000457566,0.000457566
105,2425.62,1.08097,1.94062,0.96513,0.93483,0.99765,0.9605,0.75382,0.59449,27.5537,0.6137,0.000448134,0.000448134,0.000448134
106,2447.9,1.03259,1.95689,0.92531,0.93483,0.99765,0.9605,0.75382,0.59449,27.5537,0.6137,0.000438703,0.000438703,0.000438703
107,2470,1.01456,2.20826,0.93056,0.93329,0.99662,0.96158,0.75581,0.58478,26.912,0.61297,0.000429272,0.000429272,0.000429272
108,2491.99,0.9966,1.9536,0.90332,0.93516,0.9925,0.96195,0.75718,0.58764,26.7333,0.61283,0.00041984,0.00041984,0.00041984
109,2514.15,1.04256,2.05874,0.92931,0.93516,0.9925,0.96195,0.75718,0.58764,26.7333,0.61283,0.000410409,0.000410409,0.000410409
110,2536.26,0.96687,2.05274,0.96671,0.93699,0.98958,0.96115,0.74394,0.6017,26.674,0.61379,0.000400977,0.000400977,0.000400977
111,2558.44,1.06684,1.87889,0.9299,0.93435,0.98958,0.96341,0.75016,0.61615,26.7105,0.61428,0.000391546,0.000391546,0.000391546
